name_zh,name_en,booth_no,hall,country,category,description,website,directory_url,pdfs
苏州振浦医疗器械有限公司,"Suzhou Zhenpu medical device Co., Ltd",N2-H209,N2,CHINA,cat-15,苏州振浦医疗器械有限公司隶属于振浦医疗集团，坐落于江苏省苏州市吴江同里屯村开发区，是一家为医疗器械行业提供医疗器械产品全生命周期一站式ODM生产制造服务的医疗器械生产企业。公司旗下“德湃”品牌从产品原始设计、产品注册协作、模具生产制造、塑胶制品加工、有源设备加工、成品委托生产、环氧乙烷灭菌、灭菌验证涵盖产品全生命周期生产流程。在产品全生命周期可自主生产的综合优势下，目前服务于国内上市医疗器械企业30余家，辅助注册80多个医疗器械产品，转化100多个医疗器械产品委托生产，致力于为医疗器械产品注册、量化生产降本增效，为中国医疗器械制造发展助力、赋能。,https://www.suzhouzhenpu.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466925/suzhou-zhenpu-medical-device-co---ltd,https://image.imconlinereg.com/mm-mtc/2025-08-05/B1D36C1A54201E6E9F4958A134D63B9C.pdf
欧科林格塑料科技（青岛）有限公司,"ElringKlinger Plastics Technology (Qingdao) Co., Ltd.",N2-H105,N2,GERMANY,cat-12,ElringKlinger AG是一家总部位于德国巴登符腾堡州的全球化上市百年企业，欧科林格是其旗下高性能塑料事业部。作为在医疗和实验室技术领域的合作伙伴，欧科林格不断开发创新的解决方案，基于符合医疗生物相容性的高分子聚合物Polytetraflon™和热塑性材料Moldflon™制成的PTFE挤出以及热熔挤出氟塑料医用导管、动态、静态密封件、精密注塑件等，广泛应用于胃肠、胆胰、呼吸、泌尿等领域微创手术、各种介入类治疗、精密医疗设备、实验室设备等精密高分子塑料零部件。,https://www.elringklinger-engineered-plastics.cn,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466926/elringklinger-plastics-technology-(qingdao)-co---ltd-,
江苏帕科医疗股份有限公司,"Jiangsu Pakion Medical Material Co., Ltd",N4-C302,N4,CHINA,cat-13,江苏帕科医疗股份有限公司成立于2014年，是专业设计生产一次性医用灭菌包装产品的企业，公司拥有十万级净化车间3000平米，万级净化车间1200平米，同时还配备专业物理实验室和微生物实验室用于检测包装初始污染菌、微粒污染指数及常规物理、化学性能。 公司通过了ISO 13485医疗质量体系认证，并取得了《消毒产品生产企业卫生许可证》。公司产品线齐全，涵盖了平面纸塑袋、立体纸塑袋、特卫强包装袋、顶头袋、塑塑袋、铝箔袋、水性涂胶卷材、热熔胶涂胶卷材、零涂层透析纸卷材、硬吸塑盒、涂胶特卫强热封盖材等。,https://www.pakion.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466927/jiangsu-pakion-medical-material-co---ltd,https://image.imconlinereg.com/mm-mtc/2025-04-30/C4CF9D979396FE7662BA8835D20FE88F.pdf
江苏科标医学技术集团有限公司,"Jiangsu Kerbio Medical Technology Group Co., Ltd.",N4-D408,N4,CHINA,cat-16,科标医学是专注服务医疗器械研发生产企业的第三方检测机构，实验室具备CNAS、CMA资质，并严格遵照ISO17025标准要求运行。我们的服务以动物、微生物、物理、化学为基础，植入、介入产品为特色，可为行业提供专业、快捷、可靠的验证方案及测试服务，助力新产品快速上市。目前，已累计服务超6000家企业，出具的检测报告符合多国多地区注册法规要求。,https://www.jcssmt.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466928/jiangsu-kerbio-medical-technology-group-co---ltd-,
北京安通忆泰医疗科技有限公司,"Beijing Antonito Medical Technology Co.,Ltd",N4-A110,N4,CHINA,cat-13,北京安通忆泰医疗科技有限公司及常州兰盾医疗科技有限公司是2018年北京安通塑料制品有限公司因公司发展需要剥离出的新公司，主要生产产品为医疗产品用吸塑包装、植入级超高分子量聚乙烯棒材及II类无菌医疗器械产品，产品均在符合GMP标准的万级和十万级洁净环境内生产，公司建立完整的质量管理体系，通过了ISO9001、ISO13485认证及GMP审核。公司有专业的研发、质控团队及优秀的服务人员，为客户提供从研发、生产、售后一条龙服务。,,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466929/beijing-antonito-medical-technology-co--ltd,https://image.imconlinereg.com/mm-mtc/2025-05-08/95BB5DF66D70F23325FE3C827B4E6C2D.pdf
深圳市远发金属有限公司,"SHENZHEN YUANFA METAL CO., LTD.",N1-B508,N1,CHINA,cat-02,深圳市远发金属有限公司成立于2015年，坐落于深圳市宝安区，是专注医疗精密金属部件的专业OEM供应商，深耕不锈钢医用毛细管及针管代工领域多年。主营不锈钢精密医用针管以及各类医用金属部件OEM业务，涵盖穿刺针、活检针、微波消融针等，以及内窥镜蛇骨等柔性加工件，产品广泛应用于微创手术器械、肿瘤诊疗设备、医美工具等领域，服务国内外医疗设备制造商，业务覆盖多个国家和地区。依托2000平方米标准化生产基地与20人专项研发团队，配备进口精密加工设备与自动化生产线，日产能突破10万件。通过ISO9001、ISO13485双体系认证，建有十万级洁净车间，全流程执行严苛质控标准。核心加工能力覆盖多维度精密制造：可加工外径0.18mm-20mm、壁厚0.05mm-2.5mm的金属部件，掌握激光切割、精密磨削、多轴数控加工等工艺，能完成弯曲、缩口、扩口、打孔、开槽、激光焊接等复杂工序，支持304、316L及特殊合金材料加工，可根据客户图纸或样品需求，完成从材料选择到复杂成型的全工序加工，为医疗设备制造企业提供稳定可靠的精密金属部件解决方案。,,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466930/shenzhen-yuanfa-metal-co---ltd-,https://image.imconlinereg.com/mm-mtc/2025-07-23/743F956A084B49C48AFC9A8C3C7AA553.pdf
南京肯特复合材料股份有限公司,Nanjing Comptech Composites Corporation,N2-H201,N2,CHINA,cat-05,南京肯特复合材料股份有限公司成立于2001年，公司建有江苏省企业技术中心、江苏省特种热塑性复合材料工程技术研究中心、江苏省企业研究生工作站、南京市企业院士工作站、江苏省外国专家工作室，公司拥有多项专利，曾多次获得省、市科技进步奖，并获得高新技术企业、江苏省“专精特新小巨人”企业、江苏省科技型中小企业、江苏省中小企业创新能力建设示范企业、中国塑料加工工业优秀科技创新企业等荣誉称号。公司是江苏省复合材料学会副理事长单位、中国塑料加工工业协会理事单位、中国塑料加工工业协会氟塑料加工专业委员会副理事长单位。        公司专注于高性能工程塑料制品及组配件的研发、生产和销售，致力于对高性能工程塑料的物化性能、成型工艺和精密机加工工艺的研究开发，针对不同的应用领域和客户提供个性化的材料选型、产品设计及生产制造等完整解决方案。终端产品广泛应用于阀门和压缩机等通用机械制造、通信设备制造、高铁及轨道交通设备制造、汽车制造、仪器仪表制造、医疗器械、半导体设备、环保设备、风电设备等领域，目前销售市场已遍布中国大陆、中国台湾、日韩、东南亚、美国和欧盟等国家和地区，客户较多为全球及国内领先的高端装备制造企业。        公司以“打造世界知名品牌、振兴中国民族工业”为己任，将紧跟世界前沿科技，顺应国家宏观产业政策，提升智能化与自动化制造水平，持续改进质量管理体系，不断开发各个应用领域的国内外高端客户并展开深度合作从而学习前沿的科研方向，掌握先进的生产技术，力争打造“国内领先、国际一流”的高性能工程塑料零部件生产企业。,https://Http : //www.njcomptech.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466931/nanjing-comptech-composites-corporation,
常州玛林科技有限公司,"Changzhou Marlink Technology Co.,Ltd",N2-A401,N2,CHINA,cat-07,常州玛林科技有限公司致力于高端医用纺织材料研发与生产，服务生命健康领域。公司拥有十万级净化生产车间、完整生产线及研发实验室，传承二十余年纺织织造经验。构建纤维纺丝 — 织物结构设计 — 性能测试 — 快速研发生产全流程体系。已通过 ISO 13485:2016 医疗器械质量管理体系认证，以专业技术与稳定品质，为全球客户提供可靠医用纺织解决方案。,,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466932/changzhou-marlink-technology-co--ltd,
台州市黄岩模尔德塑模有限公司,"Taizhou Huangyan Mored Plastic Mould Co., Ltd.",N3-C305,N3,CHINA,cat-09,台州市黄岩模尔德塑模有限公司成立于2009年，是一家专业设计制造医用塑料注塑模具的公司。我公司位于台州市黄岩“模具之乡”。经过十多年的发展和积累，已成为一家集模具设计，开发，生产和销售于一体的新兴高科技企业。已经与欧洲，美洲和中东等地区的许多公司建立了业务关系。我们的模具以高质量和高精确度得到了客户的广泛认可和高度评价。我们使用UG/CAD/CAM/CAE进行产品和模具的3D&2D设计。拥有高效，精确的加工和测试设备，可帮助客户实现可靠，稳定和高效的生产。我们完善了质量管理体系ISO 9001并设有产品质量检验中心，从原材料进厂到成品出厂，公司严格执行质量管理系统，有效地控制了产品质量。,https://www.moredmold.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466933/taizhou-huangyan-mored-plastic-mould-co---ltd-,https://image.imconlinereg.com/mm-mtc/2026-05-09/585C4972A9CD8EE988BCD3B53DE02EF9.pdf;https://image.imconlinereg.com/mm-mtc/2026-05-09/62EB17EE5BC1B00A209827CD98642EAE.pdf
苏州安骏精密塑胶管业有限公司,"Anjun Medical Technology （Suzhou) Co., Ltd",N2-H501,N2,CHINA,cat-05,安骏医疗科技（苏州）有限公司创立于2008年，是一家100%专注于医疗导管生产，研发及销售的生产商。公司通过了 ISO13485 & ISO9001国际质量体系认证，拥有“万级洁净   室”800平方米，标准医疗器械生产厂房3000多平方米。公司现有多条先进的医疗导管挤出生产线、精加工车间、注塑车间、组装车间，配置完善的后期加工设备及精良齐全的检验设备，结合自身技术优势，为客户实现更有竞争力的产品与服务。,http://www.szajyl.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466934/anjun-medical-technology-（suzhou)-co---ltd,https://image.imconlinereg.com/mm-mtc/2025-08-06/636E2AF3C5FF1FEF4AE034DF3AE3A253.pdf
上海遥东金属制品有限公司,"Shanghai  Far  East  Material  Co.,Ltd",N1-B804,N1,CHINA,cat-02,我公司成立于2019年，是一家中日合资企业，专注于高精度微管与金属丝的研发与制造。我们引进日本先进生产工艺和智能化生产设备，并配备多套高精度检测仪器，确保从原材料到成品的全流程精密管控。通过实时对接全球前沿技术动态，确保产品在性能、可靠性及一致性方面始终保持行业领先水平。公司位于上海市青浦区北青公路7975号7幢4层，总投资额达2500万元，致力于为客户提供高精度、高品质的金属材料解决方案。,,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466935/shanghai--far--east--material--co--ltd,https://image.imconlinereg.com/mm-mtc/2026-01-15/59ABA1CB8DD2848AC639A363854AFF48.pdf;https://image.imconlinereg.com/mm-mtc/2026-01-15/F34CD012E5C92C32EA43FBF0C638DB53.pdf
琦威质量检验认证（北京）有限责任公司,Kiwa,N4-D601,N4,CHINA,cat-17,"Kiwa是独立公正的检测、检验、认证行业的全球引领者，是国际TIC理事会全球董事会成员。Kiwa提供实验室、（依法的）检验、审核和认证业务，并通过严格分离的培训、咨询和数据服务来支持和强化这些业务的专业性和可靠性。Kiwa服务的客户几乎涵盖所有领域。无论身处何处，您始终都可以信赖Kiwa，我们致力于为您的产品、服务、流程、（管理）体系和员工传递信任。Kiwa拥有12000多员工，遍布在欧洲、亚洲、北美洲、拉丁美洲和大洋洲42个国家为您提供支持。Kiwa成立于1948年，集团总部位于荷兰赖斯韦克（Rijswijk, Netherlands），中国区域总部在北京。Kiwa是SHV家族企业成员。",https://www.kiwa.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466936/kiwa,https://image.imconlinereg.com/mm-mtc/2026-07-23/E662A367A2B6EBF79832875FE316787B.pdf
雷莫电子（上海）有限公司,"Lemo Electronics (Shanghai) Co., Ltd.",N1-D406,N1,CHINA,cat-08-3,瑞士雷莫（LEMO）公司自1946年在成立以来，已经成为世界公认的圆形插拔自锁（PUSH-PULL）连接器及其解决方案的领导者。雷莫（LEMO）是插拔自锁连接系统的发明者。此系统因为插、拔简单快捷而闻名于世。即使在振动、撞击或者电缆拉扯的情况下，它也能保证绝对安全，并且能在很有限的空间内进行操作。 LEMO旗下REDEL品牌的高品质塑料系列连接器被广泛应用于各种医疗设备，如呼吸机、麻醉机、监护仪、血压监测仪、超声检测仪、红外治疗仪、电生理、CT、高频电刀、内窥镜、除颤器、洁牙机、电震发生器、核磁共振等。,https://www.lemo-中国.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466937/lemo-electronics-(shanghai)-co---ltd-,https://image.imconlinereg.com/mm-mtc/2026-01-13/A82CC2D6C4DDED50D24D01B6BF380254.pdf;https://image.imconlinereg.com/mm-mtc/2026-01-13/3F38D4315164CEB7337A27DF17AA3D8E.pdf
昆山恒捷模型科技有限公司,Kunshan Hengjie Mold,N3-B801,N3,CHINA,cat-09,一家专业从事手板模型设计加 工为一体的的企业，公司主营业务有设计外包、手板模型、 3D打印、精密机加工、整机制作等服务。 ■ 公司团队多年在手板模型精密机械零件加工行业累积的实际 生产经验，攻坚克难。 积极参与客户产品前期设计，确保缩短 新产品开发周期及优化量产产品成本。,http://m.szsbmx.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466938/kunshan-hengjie-mold,https://image.imconlinereg.com/mm-mtc/2025-09-19/B3B40F042E064BE65854B85077FCC8CD.pdf
东莞吉达优精密塑胶有限公司,Nolato Dongguan Limited,N3-D302,N3,SWEDEN,cat-15,"Nolato Dongguan Limited-吉达优自成立到现在的20年时间里,已成为全球医疗行业众多领导品牌的首选OEM合作伙伴。我们一直专注于精密模具设计与制造、科学注塑、自动化组装和医疗定制包装，全方位帮助客户把产品设计变成现实。吉达优中国工厂位于东莞长安镇，拥有12000平米的现代化工厂和1500平米的十万级无尘车间，凭借全球化的先进制造技术为本土客户提供最优质的代工服务和最稳定的质量保证。",https://www.nolato.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466939/nolato-dongguan-limited,
苏州创捷医用新材料有限公司,"Suzhou Jietron Medical New Materials Co., Ltd",N4-A103,N4,CHINA,cat-13,苏州创捷医用新材料有限公司成立于2013年5月份，专注于医用吸塑包装、医疗器械吸塑托盘、TPU材质医用包装、医疗配件注塑等多种产品的研发、生产与制造。   公司全面通过IS013485：2018和IS09001：2015质量管理体系认证，拥有CLASS7万级洁净车间及纯水系统。先进的热成型设备、高效的自动化生产线、先进的生产工艺、强大的生产能力、经验丰富的设计研发团队，使我们能够快速、准确地提供包装整体解决方案。 公司提供定制化包装设计方案与个性化服务，凭借持续的技术创新，高品质的产品，高效的业务协同能力，已与多家知名医疗器械生产商达成长久战略合作伙伴关系，实现与客户的协作共赢！,https://www.szjietron.cn,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466940/suzhou-jietron-medical-new-materials-co---ltd,https://image.imconlinereg.com/mm-mtc/2025-05-15/9C5B47045262DABB258E3F20FD34E865.pdf
通标标准技术服务(青岛)有限公司,"SGS- CSTC Standards Technical Services Co.,Ltd.",N2-G710,N2,CHINA,cat-17,"SGS是国际公认的测试、检验和认证机构，被誉为可持续发展、质量和诚信的基准。我们的99,500名专业员工分布在115 个国家及地区的2,500多个分支机构和实验室，构建起全球化服务网络。凭借超过145年的卓越经验和瑞士公司特有的精准度，我们帮助企业达到质量、合规性与可持续性的最高标准。作为被中国合格评定国际认可委员会（CNAS）认可的第三方实验室，SGS轻工产品服务凭借专业的技术、丰富的经验和完善的设备，结合机械、材料、可靠性、EMC、安规以及综合化学等相关实验室，配合各国国际规范标准与CE认证、FDA510(k)等要求，为医疗器械产业提供全方位专业的医疗器械产品及零部件测试服务。",https://www.sgsgroup.com.cn,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466941/sgs--cstc-standards-technical-services-co--ltd-,
江阴市鸿萌橡塑制品有限公司,"Jiangyin Hongmeng Rubber Plastic Product Co., Ltd.",N4-B408,N4,CHINA,cat-13,江阴市鸿萌橡塑制品有限公司成⽴于2004年，专业研发和生产高精密高质量的医用橡胶件、硅胶定制件以及药包材胶塞等各种医疗产品。 2022年制定了以原材料、零配件、组装件、OEM、CDMO，5大业务板块的发展规划。致力于改性塑料、硅胶原材料开发，协同组装方案，为全球医疗器械行业提供专业OEM&CDMO服务，打造研发及生产的一体化服务平台，加速赋能全球合作伙伴实现从临床前到商业化生产的全过程，让研发更高效，更早惠及人类健康，实现“成为医用耗材领域的首选供应商和服务商”的企业愿景。,https://www.jyshm.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466942/jiangyin-hongmeng-rubber-plastic-product-co---ltd-,https://image.imconlinereg.com/mm-mtc/2025-06-26/F6241B5A783CA602B0219C61BE07CD64.pdf
苏州中博包装科技有限公司,Suzhou Zhongbo Packing Technology Co.Ltd,N2-A109,N2,CHINA,cat-13,我们扎根于江苏昆山，深耕医疗器械防护包装领域，以“优质产品+高效服务”为核心，为全球客户提供医用防护衬板、包装盘管等产品的定制化设计开发与全流程生产服务，助力客户打造“高质量、高性价比”的包装解决方案。,https://www.ZB-Healthcare.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466943/suzhou-zhongbo-packing-technology-co-ltd,https://image.imconlinereg.com/mm-mtc/2026-06-29/7CFAB9F024ACB38AE1290F04DC733158.pdf
大同斯蒂尔材料科技（上海）有限公司,"Daido Steel Materials Technology (Shanghai) Co., Ltd.",N1-G202,N1,JAPAN,cat-02,"大同斯蒂尔材料科技(上海)有限公司 Daido Steel Materials Technology(Shanghai) Co., Ltd.(简称DSTS)是日本大同特殊钢株式会社在中国的全资子公司。作为大同特殊钢中国业务的重要成员之一，DSTS 凭借大同特殊钢超过百年的特殊钢经验，在中国积极开拓医疗器械业务领域，深度参与特殊合金在医用植入、骨科齿科、以及医疗器械的应用和开发，成为更加专业的特殊金属材料解决方案供应商，包括选材测试和建议、深加工以及供应链延伸等。 DSTS主营产品包括高级特殊钢、高合金材料等各种新材料在内的高端专用材料，广泛应用于医疗器械、半导体、电子元器件、航空航天、等领域。",https://www.daido.co.jp/,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466944/daido-steel-materials-technology-(shanghai)-co---ltd-,https://image.imconlinereg.com/mm-mtc/2026-07-29/2A433EFBD6A35FCEB671B2B61BAF69F8.pdf;https://image.imconlinereg.com/mm-mtc/2026-07-29/947B0D64C392C4DB0E0145356D275A0A.pdf
昆山市坦钛等离子科技有限公司,"China-tantec technologies Co.,Ltd",N3-C505,N3,DENMARK,cat-14,昆山市坦钛等离子科技有限公司为丹麦Tantec公司中国区总代。 丹麦Tantec公司从1974年就从事于等离子技术在工业中的运用，至今拥有近50多年的专业经验的积累，从而成功为各行各业制造和生产出了许多优质高端的表面处理产品。 作为世界首屈一指的等离子处理技术制造商，Tantec公司提供各种标准和客制化设备，为各种塑胶或金属材料的3D成型产品或者片材及管材产品进行表面清洁、活化、湿润等处理，从而提升粘接、印刷、喷涂、涂层、复合等工艺的效果。 涉及行业： · 汽车行业 · 医疗装置行业 · 线缆及管业 · 塑料片材及塑料包装行业 · 发泡板材行业 · 电子行业 · 各种箔类及薄膜行业,http://www.china-tantec.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466945/china-tantec-technologies-co--ltd,https://image.imconlinereg.com/mm-mtc/2026-05-14/4425FED652E785E9102467080C2C57B8.pdf;https://image.imconlinereg.com/mm-mtc/2026-05-14/17E2E7902E7255849256C300ABD0E9D5.pdf
苏州慧捷自动化科技有限公司,"Suzhou Smacon Automation Technology Co.,Ltd.",N3-G111,N3,CHINA,cat-11,苏州慧捷自动化科技有限公司(以下简称慧捷科技)成立于2004年，于2005 年开始聚焦医疗器械生产线自动化研发制造，与国际和国内头部企业合作，不断对生产制程工艺改进和创新，打造了腹膜透析耗权【废液袋，盘管点焊及三通组装焊接等】生产线，吻合器【腔镜+管型】组装测试线，喷雾剂罐装及泄露检测生产线等稳定高效的自动化技术迭代升级系列设备，我们积累了医疗行业制程工艺和材料方面较丰富的知识库，具备对医疗器械客户，提供精准自动化解决方案⼀站式的交钥匙的服务能力。,https://www.smacon.cn,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466946/suzhou-smacon-automation-technology-co--ltd-,https://image.imconlinereg.com/mm-mtc/2025-07-09/284ED8F5FB5EF04095DDBE74AEF29B5A.pdf
